;denominador;numerador;Frequência;P-value;Qtd_1_Denom;Qtd_0_Demon;D0N0;D0N1;D1N0;D1N1
1;Fuma;Fuma;1;2,09E-31;46;154;154;0;0;46
2;Cirurgia_coluna;Fuma;0.314285714285714;0.000756144213616695;70;108;96;12;48;22
3;Aposentado;Fuma;0.323529411764706;0.196513840798873;34;155;121;34;23;11
4;Desempregado;Fuma;0.392857142857143;0.0451735753747703;28;157;123;34;17;11
5;Licenca_Medica;Fuma;0.5;0.00677455487104412;18;169;133;36;9;9
6;Aposentado_Invalidez;Fuma;0.625;0.00961679018338874;8;174;135;39;3;5
7;Analg.e9.sicos;Fuma;0.252032520325203;0.653220190342817;123;63;49;14;92;31
8;OutraDoenca;Fuma;0.188405797101449;0.212458954373214;69;119;87;32;56;13
9;Dor_costas;Fuma;0.284403669724771;0.19385513298324;109;75;60;15;78;31
10;Dor_pernas;Fuma;0.344262295081967;0.0405182809725091;61;122;97;25;40;21
11;Retornar_trabalho;Fuma;0.4;0.144861961303073;20;146;110;36;12;8
12;Masc;Fuma;0.222222222222222;0.706412141882839;135;65;49;16;105;30
13;Fem;Fuma;0.246153846153846;0.706412141882839;65;135;105;30;49;16
14;Casado_Amasiado;Fuma;0.142857142857143;0.00627369482938942;84;109;75;34;72;12
15;Solteiro;Fuma;0.289156626506024;0.150085476777339;83;110;88;22;59;24
16;Separado_Divorciado;Fuma;0.125;0.44218557681651;8;185;140;45;7;1
17;X4;Fuma;1;0.00180464827369461;3;190;147;43;0;3
18;X5;Fuma;0.25;0.955899710529858;4;189;144;45;3;1
19;X6;Fuma;0.454545454545455;0.0830792452204177;11;182;141;41;6;5
20;Livrar_costas;Fuma;0.278350515463918;0.336155093179132;97;15;9;6;70;27
21;Livrar_perna;Fuma;0.428571428571429;0.239948315399424;14;98;71;27;8;6
22;Livrar_perda_sens;Fuma;0;0.516197098269408;1;111;78;33;1;0
23;D1;Fuma;0;0.452095549051344;1;127;81;46;1;0
24;D15;Fuma;1;0.0023225674062509;5;123;82;41;0;5
25;D16;Fuma;0.421052631578947;0.543728778149125;19;109;71;38;11;8
26;D17;Fuma;0.75;0.0980711909221135;4;124;81;43;1;3
27;D18;Fuma;0.642857142857143;0.0191586856383373;14;114;77;37;5;9
28;D19;Fuma;0.571428571428571;0.229120599446101;7;121;79;42;3;4
29;D2;Fuma;1;9,61E+08;8;120;82;38;0;8
30;D20;Fuma;0.375;0.924214003182506;8;120;77;43;5;3
31;D21;Fuma;0.285714285714286;0.676126454476383;7;121;77;44;5;2
32;D22;Fuma;0.5;0.676126454476383;2;126;81;45;1;1
33;D23;Fuma;0;0.452095549051344;1;127;81;46;1;0
34;D24;Fuma;0.333333333333333;0.768012132089777;24;104;66;38;16;8
35;D25;Fuma;0.333333333333333;0.924214003182506;3;125;80;45;2;1
36;D26;Fuma;0;0.285703052977686;2;126;80;46;2;0
37;D27;Fuma;0.75;0.0980711909221135;4;124;81;43;1;3
38;D28;Fuma;0.6;0.252649548240488;5;123;80;43;2;3
39;D29;Fuma;0.325;0.584747959399826;40;88;55;33;27;13
40;D3;Fuma;1;0.0570268627122226;2;126;82;44;0;2
41;D30;Fuma;0.288135593220339;0.120355302225518;59;69;40;29;42;17
42;D31;Fuma;0.5;0.210109578976528;16;112;74;38;8;8
43;D32;Fuma;0.305555555555556;0.427296371965607;36;92;57;35;25;11
44;D33;Fuma;0.363636363636364;0.975421663860221;11;117;75;42;7;4
45;D34;Fuma;1;0.0192774091404522;3;125;82;43;0;3
46;D35;Fuma;1;0.0570268627122226;2;126;82;44;0;2
47;D36;Fuma;0.666666666666667;0.108087059239421;6;122;80;42;2;4
