ID,Grandeza,Grupo,Descricao
PI0102,Pressao ,Evaporação,Pressao no evaporador
FC0104,Vazao,Evaporação,Vazao de ácido acético
FC0105,Vazao,Evaporação,Vazao de vapor
FC0108,Vazao,Evaporação,Vazao de catalisador
TI0201,Temperatura,Clivagem,Temperatura na câmara 1
TC0202,Temperatura,Clivagem,Temperatura na entrada da câmara 2
TI0203,Temperatura,Clivagem,Temperatura na saídaa da câmara 2
TI0204,Temperatura,Clivagem,Temperatura na entrada da câmara 3
TI0205,Temperatura,Clivagem,Temperatura na saída da câmara 1
TI0210,Temperatura,Clivagem,Temperatura na entrada da serperntina 1
TI0211,Temperatura,Clivagem,Temperatura na saída da serpentina 1
TI0212,Temperatura,Clivagem,Temperatura na saída da serpentina 2
TC0213,Temperatura,Clivagem,Temperatura na saídaa da serpentina 3
PI0214,Pressao ,Clivagem,Pressao na saída da serpentina 1
PI0215,Pressao ,Clivagem,Pressao na saída da serpentina 2
PI0216,Pressao ,Clivagem,Pressao na saída da serpentina 3
FI0219,Vazao,Clivagem,Vazao de gás residual
FI0446,Vazao,Clivagem,Vazao de gás natural
FC0501,Vazao,Clivagem,Vazao de amônia
TC0508,Temperatura,Condensação,Temperatura na saída do trocador 1
PI0509,Pressao ,Condensação,Pressao no ciclone na saída do trocador 1
TC0510,Temperatura,Condensação,Temperatura na saída do trocador 1
PI0511,Pressao ,Condensação,Pressao no ciclone na saída do trocador 2
TC0512,Temperatura,Condensação,Temperatura na saída do trocador 3
PI0513,Pressao ,Condensação,Pressao no ciclone na saída do trocador 3
FC0619,Vazao,Absorção,Vazao de anidrido bruto (produto)
FC0629,Vazao,Absorção,Vazao de ácido acético
PI0640,Pressao ,Absorção,Pressao do gás na saída da coluna 4
